v1	V(v_1)	V(v_2)	I(V3)
-6.749999999999997e-001	1.825000e+000	2.500000e+000	-5.136474e-005
-6.739999999999997e-001	1.826000e+000	2.500000e+000	-5.127660e-005
-6.729999999999997e-001	1.827000e+000	2.500000e+000	-5.118838e-005
-6.719999999999997e-001	1.828000e+000	2.500000e+000	-5.110009e-005
-6.709999999999997e-001	1.829000e+000	2.500000e+000	-5.101173e-005
-6.699999999999997e-001	1.830000e+000	2.500000e+000	-5.092330e-005
-6.689999999999997e-001	1.831000e+000	2.500000e+000	-5.083479e-005
-6.679999999999997e-001	1.832000e+000	2.500000e+000	-5.074621e-005
-6.669999999999997e-001	1.833000e+000	2.500000e+000	-5.065757e-005
-6.659999999999997e-001	1.834000e+000	2.500000e+000	-5.056885e-005
-6.649999999999997e-001	1.835000e+000	2.500000e+000	-5.048006e-005
-6.639999999999997e-001	1.836000e+000	2.500000e+000	-5.039120e-005
-6.629999999999997e-001	1.837000e+000	2.500000e+000	-5.030227e-005
-6.619999999999997e-001	1.838000e+000	2.500000e+000	-5.021327e-005
-6.609999999999997e-001	1.839000e+000	2.500000e+000	-5.012420e-005
-6.599999999999997e-001	1.840000e+000	2.500000e+000	-5.003507e-005
-6.589999999999997e-001	1.841000e+000	2.500000e+000	-4.994586e-005
-6.579999999999997e-001	1.842000e+000	2.500000e+000	-4.985659e-005
-6.569999999999997e-001	1.843000e+000	2.500000e+000	-4.976724e-005
-6.559999999999997e-001	1.844000e+000	2.500000e+000	-4.967783e-005
-6.549999999999997e-001	1.845000e+000	2.500000e+000	-4.958836e-005
-6.539999999999997e-001	1.846000e+000	2.500000e+000	-4.949882e-005
-6.529999999999997e-001	1.847000e+000	2.500000e+000	-4.940921e-005
-6.519999999999997e-001	1.848000e+000	2.500000e+000	-4.931953e-005
-6.509999999999997e-001	1.849000e+000	2.500000e+000	-4.922979e-005
-6.499999999999997e-001	1.850000e+000	2.500000e+000	-4.913998e-005
-6.489999999999997e-001	1.851000e+000	2.500000e+000	-4.905012e-005
-6.479999999999997e-001	1.852000e+000	2.500000e+000	-4.896018e-005
-6.469999999999997e-001	1.853000e+000	2.500000e+000	-4.887018e-005
-6.459999999999997e-001	1.854000e+000	2.500000e+000	-4.878012e-005
-6.449999999999997e-001	1.855000e+000	2.500000e+000	-4.868999e-005
